Date,Open,High,Low,Close,Volume
4/1/2020,78.6,79.2,77.7,78,413
4/6/2020,79.1,79.4,76.5,77.6,529
4/7/2020,85.3,85.3,85.3,85.3,219
4/8/2020,93.8,93.8,93.8,93.8,309
4/9/2020,103,103,97.8,98.1,3677
4/10/2020,100.5,104,98.8,99.1,1317
4/13/2020,101,106.5,99.1,101.5,1681
4/14/2020,105.5,111.5,102.5,111.5,1226
4/15/2020,122,122.5,113.5,118,3318
4/16/2020,120.5,128,120.5,126,1450
4/17/2020,126,126,114,119,1004
4/20/2020,118.5,124,118,122.5,613
4/21/2020,134,134.5,126,134.5,1196
4/22/2020,145,147.5,137,147.5,751
4/23/2020,156,162,156,162,947
4/24/2020,171.5,178,171,178,1281
4/27/2020,186.5,195,167,193,1468
4/28/2020,177,182,174,174,252
4/29/2020,157,160,157,157,902
4/30/2020,164,172.5,151.5,172.5,887
5/4/2020,170.5,188,170.5,186,535
5/5/2020,203,204.5,196,204,426
5/6/2020,202,219,197,204,528
5/7/2020,206,206,197,205.5,271
5/8/2020,206,206,198.5,202,301
5/11/2020,182,205,182,204,507
5/12/2020,199,207,199,207,470
5/13/2020,223,227.5,217.5,227.5,442
5/14/2020,250,250,242.5,250,1115
5/15/2020,275,275,252.5,274.5,3811
5/18/2020,269,301.5,264.5,301.5,2761
5/19/2020,301.5,315,271.5,271.5,4709
5/20/2020,271,295,271,295,412
5/21/2020,297,316,297,311,814
5/22/2020,313.5,321,313.5,316,529
5/25/2020,322,322,295,316,303
5/26/2020,322,322,296,303.5,149
5/27/2020,303.5,315,273.5,301,416
5/28/2020,299,310,299,301,194
5/29/2020,303,314,301,307,216
6/1/2020,313,313,300,307,212
6/2/2020,310,310,291.5,299,255
6/3/2020,302,313,302,312.5,265
6/4/2020,319,339,319,333,629
6/5/2020,345,359,340,359,749
6/8/2020,361.5,391.5,361.5,384,2232
6/9/2020,390,390.5,366,380.5,1246
6/10/2020,392,412,388.5,402,1466
6/11/2020,405,416,381.5,399.5,1218
6/12/2020,402.5,408,390,397.5,778
6/15/2020,410.5,418.5,400,405,887
6/16/2020,414,414,400.5,401,561
6/17/2020,404,410.5,394,398,958
6/18/2020,407.5,435,398,416.5,2218
6/19/2020,423,426,399,399,1231
6/22/2020,400.5,405,383,383,690
6/23/2020,387,395.5,370,395,913
6/24/2020,396.5,403,380,381.5,634
6/29/2020,400,412,386,389,1309
6/30/2020,394,396,378,388,851
7/1/2020,395,400,386,400,681
