Date,Open,High,Low,Close,Volume
1/2/2018,21.4,23.3,21.4,23.3,11528
1/3/2018,23.65,25.6,23.65,25.6,14323
1/4/2018,26.9,28.15,26.2,28.15,17689
1/5/2018,28.2,30.95,27.1,30.95,31072
1/8/2018,32,34,31.6,34,16260
1/9/2018,37.4,37.4,36,37.4,9995
1/10/2018,38,41.1,38,41.1,7491
1/11/2018,44.1,45.2,44.1,45.2,4089
1/12/2018,44.5,44.5,40.7,40.7,3877
1/15/2018,36.65,36.65,36.65,36.65,2045
1/16/2018,33,33,33,33,3257
1/17/2018,29.7,34.7,29.7,34.1,20380
1/18/2018,35.5,37.5,35.5,37.5,3760
1/19/2018,38.25,40,36.3,37.55,5933
1/22/2018,39.45,39.45,37.55,39.45,2055
1/23/2018,40.4,41.6,40.3,41.6,2519
1/24/2018,42.95,42.95,40.55,41.55,2002
1/25/2018,41.95,42,41,42,1384
1/26/2018,42,43.95,38.15,40,9299
1/29/2018,40,41.6,37.7,39.7,5532
1/30/2018,39.5,40.8,39,39.7,2771
1/31/2018,39.1,43.65,39.1,43.65,7951
2/1/2018,43.65,48,42.9,48,19609
2/2/2018,51.7,52.8,50.2,52.8,24051
2/5/2018,53.6,58,52,58,39121
2/6/2018,56.6,60.5,52.2,52.2,39750
2/7/2018,53,56.3,47.15,48.95,38737
2/8/2018,49,50.5,45.25,46.3,23763
2/9/2018,43,48.9,43,47.2,16021
2/12/2018,49.5,51.9,48.5,51.9,13769
2/21/2018,54.2,57,53,57,28489
2/22/2018,59,62.7,58.5,62.7,22903
2/23/2018,65.5,68.5,56.5,56.5,28010
2/26/2018,55,61.8,53,59,41398
2/27/2018,63,63.2,59.4,62.5,24113
3/1/2018,61.4,64.2,60.6,63.5,20144
3/2/2018,62.1,64,61.4,61.8,15563
3/5/2018,62.2,63.1,56.7,59,18656
3/6/2018,59.9,61.7,57.7,60.7,17894
3/7/2018,61,61.8,57.9,58,10704
3/8/2018,58.3,58.9,57.4,58.5,7387
