Date,Open,High,Low,Close,Volume
5/2/2013,42.7,43.2,42.6,43.1,96
5/3/2013,43.15,43.25,43,43,210
5/6/2013,43.25,43.4,42.95,43.4,322
5/7/2013,43.3,43.95,43.3,43.6,256
5/8/2013,43.8,43.9,43.4,43.5,339
5/9/2013,45.4,46.5,45.15,46.5,1697
5/10/2013,47.65,47.9,46.65,47.1,1517
5/13/2013,47.5,47.65,46.7,47.5,661
5/14/2013,47.75,47.75,47.1,47.2,424
5/15/2013,47.25,50.4,47.25,49.65,1209
5/16/2013,50,50.8,49.45,49.8,656
5/17/2013,49.8,49.8,48.8,49.3,462
5/20/2013,49.3,49.3,48.65,49,388
5/21/2013,49,49.3,48.7,49.3,378
5/22/2013,49.4,50.7,49.4,50.3,730
5/23/2013,50,50.4,49.5,50,821
5/24/2013,50,50,49.05,49.3,417
5/27/2013,49,50.7,49,50.3,734
5/28/2013,50.8,53.2,50.8,52.9,1121
5/29/2013,54,55,53.5,54.2,1280
5/30/2013,54.1,54.1,52.7,53.2,565
5/31/2013,54,56.5,54,55.5,1273
6/3/2013,54.9,56.6,54.9,55.5,1583
6/4/2013,55.5,56.2,54.8,54.8,787
6/5/2013,54.8,55.4,54.5,54.8,407
6/6/2013,54.4,54.4,53.4,53.7,640
6/7/2013,55.4,57.2,54.1,55,1935
6/10/2013,57,57,55.6,55.7,838
6/11/2013,55.7,56.5,55,55.2,751
6/13/2013,55,55.4,52.9,53.5,1008
6/14/2013,54.3,57.2,53.5,57.2,1761
6/17/2013,57.4,59.8,56,59.6,2561
6/18/2013,59.8,61.9,59.8,60.2,2245
6/19/2013,60.9,61.9,60.1,60.3,912
6/20/2013,59.4,59.9,58.8,59.2,971
6/21/2013,57.1,58.1,55.7,57.8,1199
6/24/2013,57.8,58.3,57.4,57.6,450
6/25/2013,57.5,57.8,53.7,54,1409
6/26/2013,55.9,56.1,55,56,662
6/27/2013,56.8,58.8,56.5,58.5,1012
6/28/2013,59.3,59.3,57,57.9,732
7/1/2013,57.7,59.4,57.3,58.8,911
7/2/2013,59.3,61.5,59.3,60,1264
7/3/2013,61,61.3,59.9,60.5,892
7/4/2013,60.8,60.9,59.3,60,577
7/5/2013,61.5,62.5,60.6,62.1,1635
7/8/2013,63,66.4,62.6,66.4,4175
7/9/2013,66.9,71,66.5,71,4847
7/10/2013,69.8,70.5,68.5,69.3,3468
7/11/2013,70,70.6,68,68.9,2351
7/12/2013,69,73.7,68,73.7,4262
7/15/2013,75,78.8,75,76.3,4242
7/16/2013,76.3,81.6,75,81.6,4572
7/17/2013,79,86,79,82.6,6580
7/18/2013,83.2,85.8,80.7,83.6,3798
7/19/2013,83.7,85.3,80,80,2998
7/22/2013,80.2,83.9,80.2,83.6,2701
7/23/2013,85.5,89.4,85,89.4,3920
7/24/2013,95,95.6,94.1,95.6,3284
7/25/2013,99.9,102,97.3,99.6,8025
7/26/2013,102.5,106.5,102,106.5,4597
7/29/2013,110,113.5,109,113.5,4049
7/30/2013,117,117,106.5,114,5556
7/31/2013,111.5,113.5,106.5,106.5,2867
8/1/2013,107,113.5,107,113.5,3943
8/2/2013,115,120,112,116.5,3326
8/5/2013,119,124.5,117.5,124.5,2998
8/6/2013,127.5,130,123,127,3807
8/7/2013,125,129.5,118.5,118.5,4029
8/8/2013,126.5,126.5,125.5,126.5,2810
8/9/2013,133,135,133,135,1448
8/12/2013,137,137,130,133,4660
8/13/2013,134,142,132,142,4723
8/14/2013,148,151.5,140.5,149,8203
8/15/2013,143.5,155.5,143.5,154,4032
8/16/2013,154,157.5,148,151.5,3398
8/19/2013,151,151.5,141,141,4807
8/20/2013,141,142.5,132.5,134,5218
8/22/2013,134.5,138.5,131,137,4662
8/23/2013,143,144,139,139,4337
8/26/2013,142,148,138.5,144.5,4203
8/27/2013,145,146.5,134.5,135,2873
8/28/2013,132,138,132,135,2535
8/29/2013,138,143.5,136,142,3744
8/30/2013,144,148,139,139.5,3880
9/2/2013,143,144.5,139.5,140,2742
