Date,Open,High,Low,Close,Volume
3/1/2017,75.9,80.6,74.2,80,10127
3/2/2017,78,79.4,74.4,75.3,4922
3/3/2017,75,75.3,73.3,74.5,1939
3/6/2017,79.5,81.9,79.5,81.9,10570
3/7/2017,81.6,82.4,79.9,80.3,5691
3/8/2017,80.4,80.9,79.1,79.9,2186
3/9/2017,80,80.7,78.9,80.7,2156
3/10/2017,80.6,81,78.2,80.6,2328
3/13/2017,81.2,86,81.2,84.9,5297
3/14/2017,84.7,85.5,84,84.3,3089
3/15/2017,84,84.5,83.4,84,1651
3/16/2017,84.8,85.2,82.3,84,2007
3/17/2017,83.9,85.5,82.9,85.5,2964
3/20/2017,85,85.1,83.6,84.7,2015
3/21/2017,84.5,85.3,84.2,85,2217
3/22/2017,83.8,84.8,83.7,83.8,1483
3/23/2017,84,84.2,82.8,82.8,1603
3/24/2017,83.2,83.4,81.5,82,1852
3/27/2017,82,83.5,81.6,82.4,1193
3/28/2017,82.6,84.3,82.6,83.9,1969
3/29/2017,85,85.1,83.6,83.6,1929
3/30/2017,83.6,84.5,83.5,83.6,1353
3/31/2017,83.6,84,82.7,82.7,1037
4/5/2017,83.2,86,82.6,84,2483
4/6/2017,84,84.4,82.9,83.8,1249
4/7/2017,84.1,84.1,82.1,83.2,1195
4/10/2017,84.7,84.9,83.7,84.7,1517
4/11/2017,85.4,85.4,83.2,84.4,1817
4/12/2017,83.6,85.5,82.6,85.1,2310
4/13/2017,85.5,93.6,85.2,93.1,8276
4/14/2017,91.3,91.3,86.3,88.7,5133
4/17/2017,88.8,89,85.3,89,2427
4/18/2017,89.8,91.3,88.1,89.8,2002
4/19/2017,89.8,91,88.2,89.8,2068
4/20/2017,90.5,94.5,90.2,93,3792
4/21/2017,97,98,94,96.8,6901
4/24/2017,96.4,102,95.3,101,6670
4/25/2017,100,109.5,99.6,106,6197
4/26/2017,105.5,106.5,102.5,102.5,4701
4/27/2017,101.5,107.5,101,106,4631
4/28/2017,105,108,104,106.5,3563
5/2/2017,107,109,102,105.5,2922
5/3/2017,105.5,107.5,103.5,105,2825
5/4/2017,104,107,103.5,107,1541
5/5/2017,107,107,103.5,105.5,1711
5/8/2017,105.5,105.5,101,101.5,2606
5/9/2017,102,102.5,98.4,100,3560
5/10/2017,101.5,104.5,100.5,101,2290
5/11/2017,101,102,98.4,100,1618
5/12/2017,101,101,99.6,100,756
5/15/2017,100.5,103.5,100,101,2581
5/16/2017,102.5,103,98.5,98.5,1836
5/17/2017,99.1,99.4,95.6,98.3,2273
5/18/2017,96.9,100,95.8,100,1775
5/19/2017,100,101,98.1,98.1,1180
