Date,Open,High,Low,Close,Volume
11/1/2012,88.3,88.3,86.1,87.2,386
11/2/2012,88,91.1,88,90.6,768
11/5/2012,91,93.5,91,92.5,658
11/6/2012,92.7,93.5,91.1,92.3,334
11/7/2012,93,93,91,91.2,318
11/8/2012,89.2,92.4,89.2,92.4,199
11/9/2012,93,93,91.8,92.1,225
11/12/2012,93,98.4,92.6,98,637
11/13/2012,98.8,101,97,100,541
11/14/2012,100,101.5,99,99.9,327
11/15/2012,100,106,98.5,106,722
11/16/2012,106,108.5,103.5,107,687
11/19/2012,107,107.5,100,100,557
11/20/2012,100,104.5,100,103.5,463
11/21/2012,104.5,107,102.5,103,394
11/22/2012,106,106,102,102.5,263
11/23/2012,103.5,104.5,102,103,405
11/26/2012,104.5,110,104.5,110,751
11/27/2012,113,114.5,110.5,114,1200
11/28/2012,114,121.5,112,121.5,1236
11/29/2012,123.5,130,123,130,1648
11/30/2012,130.5,138,127,134,1359
12/3/2012,133,137.5,131,136.5,919
12/4/2012,136.5,146,136,146,1069
12/5/2012,150,156,149,156,846
12/6/2012,166,166.5,162,166.5,360
12/7/2012,178,178,155,155,1989
12/10/2012,158,164,157,162,1527
12/11/2012,165,173,163,173,1695
12/12/2012,175,185,175,185,1578
12/13/2012,188,197.5,172.5,175,2266
12/14/2012,178,180.5,166,180,1468
12/17/2012,182,184,174.5,175.5,839
12/18/2012,177,177,164,164,1566
12/19/2012,164,169,158,162,1075
12/20/2012,162,167,161,163,765
12/21/2012,165,165,152,152,1439
12/22/2012,152,154,143,147.5,1315
12/24/2012,146,152.5,145,149.5,905
12/25/2012,149.5,149.5,143,146.5,762
12/26/2012,146.5,156.5,146.5,156.5,1267
12/27/2012,158.5,167,158.5,167,1344
12/28/2012,173,174.5,161.5,163,1285
1/2/2013,166,174,166,174,616
1/3/2013,182,184.5,175,177.5,1317
1/4/2013,177,181,174,174,1046
1/7/2013,176,178.5,165,166.5,892
1/8/2013,168,178,163,177,1039
1/9/2013,176,179,172,174,877
1/10/2013,178,183,173,174.5,1129
1/11/2013,177.5,180,172,179,745
1/14/2013,181,191.5,179,191.5,2262
1/15/2013,193,199,190,197,1875
1/16/2013,195,195,183.5,183.5,1691
1/17/2013,179,185.5,171,172,1974
1/18/2013,175,179,172,175,705
1/21/2013,175,178.5,173.5,175,493
1/22/2013,175,175,168.5,172,532
1/23/2013,173,177.5,170,173.5,539
1/24/2013,173.5,174,170,172,395
1/25/2013,170,174.5,169.5,171,465
1/28/2013,171,175,171,173,308
1/29/2013,175,182,172.5,180,1030
1/30/2013,180,181.5,175,175.5,651
1/31/2013,174.5,177,173.5,173.5,321
2/1/2013,174.5,178,172.5,174,480
2/4/2013,175,176,173.5,173.5,292
2/5/2013,172,172.5,165,166.5,972
2/6/2013,168,172,167,168,424
2/18/2013,179.5,179.5,179.5,179.5,423
2/19/2013,192,192,186.5,192,1776
2/20/2013,192,205,190,205,1572
2/21/2013,203,218,200,207.5,1147
2/22/2013,207.5,221.5,207.5,219.5,1284
2/23/2013,226,234.5,224,234.5,1236
2/25/2013,250.5,250.5,250.5,250.5,510
2/26/2013,266,268,253,268,1818
2/27/2013,262,262,249.5,249.5,1113
3/1/2013,251,266.5,251,265,1119
3/4/2013,267,283,261,281,915
3/5/2013,283,292,268,282,1126
3/6/2013,288,301.5,283,301.5,985
3/7/2013,307,322.5,307,322.5,517
3/8/2013,340,340,300,308,2100
3/11/2013,286.5,286.5,286.5,286.5,263
3/12/2013,266.5,297,266.5,295,1794
3/13/2013,291,294,278,278,1045
3/14/2013,278,285,269.5,274,631
3/15/2013,277,284.5,269,277,807
3/18/2013,274,275.5,270.5,270.5,369
3/19/2013,274,289,274,289,862
3/20/2013,289,292.5,285,287,828
3/21/2013,298,306.5,294.5,298,1021
3/22/2013,295,305,294,296,675
3/25/2013,301,303,283,286,636
3/26/2013,286,294,284,286.5,429
3/27/2013,290,298,287,293,538
3/28/2013,296,297,288,291,377
3/29/2013,295,304.5,295,297,580
4/1/2013,300,300,289,290,534
4/2/2013,290,295,288,290,248
4/3/2013,292,309,289,305,1000
4/8/2013,301,301,292,295.5,567
4/9/2013,296,302,295,297.5,400
4/10/2013,292,296,277,277,1599
4/11/2013,278,282,258.5,261,1257
4/12/2013,264.5,275,261,269,752
4/15/2013,264,268,250.5,250.5,1299
4/16/2013,240.5,260.5,240.5,260,829
4/17/2013,260,264,256.5,258.5,506
