Date,Open,High,Low,Close,Volume
4/1/2020,24.85,25,24.6,24.9,280
4/6/2020,25.5,27.25,24.8,27,1133
4/7/2020,27.2,27.9,27,27.6,684
4/8/2020,27.7,30.35,27.6,29.85,2035
4/9/2020,30,30.15,29.1,30.1,943
4/10/2020,30.15,30.5,29.75,29.95,933
4/13/2020,30.15,31.85,30,31.3,2012
4/14/2020,31.6,32.5,31.5,31.55,1623
4/15/2020,31.55,31.55,31.55,31.55,0
4/16/2020,34.7,34.7,34.7,34.7,600
4/17/2020,38.15,38.15,38.15,38.15,782
4/20/2020,41.95,41.95,41.95,41.95,1542
4/21/2020,46.1,46.1,45.4,46.1,16942
4/22/2020,45.55,48.4,44.1,47,9401
4/23/2020,47.1,51.7,47.1,51.7,6174
4/24/2020,53.1,56.8,52,55.1,9600
4/27/2020,56.5,56.5,53.8,55.8,5003
4/28/2020,53.5,53.5,50.5,51.6,2846
4/29/2020,52.1,54,52.1,52.8,1746
4/30/2020,53.5,56,53.5,56,2601
5/4/2020,55.9,61.6,55.9,61.6,2770
5/5/2020,67.7,67.7,66,67.7,5096
5/6/2020,68,74.3,68,68,3232
5/7/2020,68,74,68,74,3528
5/8/2020,78.4,78.4,74.4,75.2,3256
5/11/2020,76,76,70,73,3041
5/12/2020,73.1,74,70,72,2497
5/13/2020,74.1,79.2,74.1,79.2,4760
5/14/2020,87.1,87.1,87.1,87.1,3571
5/15/2020,95.8,95.8,95.8,95.8,1470
5/18/2020,105,105,105,105,769
5/19/2020,115.5,115.5,115.5,115.5,697
5/20/2020,127,127,118,127,18093
5/21/2020,118,118,114.5,114.5,2960
5/22/2020,108.5,125.5,108.5,125,4787
5/25/2020,128,136,128,132.5,3153
5/26/2020,135.5,137,123,123.5,3449
5/27/2020,130,130,117.5,126,2946
5/28/2020,127,134,126.5,134,2785
5/29/2020,140,147,139.5,139.5,5064
6/1/2020,138.5,139,131.5,138.5,2257
6/2/2020,135,144,135,144,2006
6/3/2020,149,153,149,152.5,2189
6/4/2020,154,154,150,150.5,1763
6/5/2020,154.5,160,153,160,1585
6/8/2020,172,176,170,176,3306
6/9/2020,184,193.5,178,193.5,7399
6/10/2020,195,212.5,194.5,212.5,4189
6/11/2020,217.5,233.5,191.5,191.5,8797
6/12/2020,172.5,172.5,172.5,172.5,3466
6/15/2020,172.5,172.5,172.5,172.5,0
6/16/2020,189.5,189.5,189.5,189.5,392
6/17/2020,208,208,208,208,136
6/18/2020,228.5,228.5,228.5,228.5,546
6/19/2020,251,251,228,251,8080
6/22/2020,247.5,269.5,247.5,260,2410
6/23/2020,260,260,234,240,2573
6/24/2020,230,235.5,225,228,2571
6/29/2020,228,243,228,241.5,2562
6/30/2020,247.5,250.5,240,249,1670
7/1/2020,264,273,254,270,5989
7/2/2020,275,297,274.5,297,5788
7/3/2020,307,326.5,301.5,326.5,8750
7/6/2020,343,359,332.5,359,5417
7/7/2020,386.5,394.5,371,394.5,8003
7/8/2020,380.5,433.5,380.5,433.5,1917
7/9/2020,476.5,476.5,450,450,2317
7/10/2020,420,420,405,405,4377
7/13/2020,364.5,364.5,364.5,364.5,1267
7/14/2020,328.5,328.5,328.5,328.5,684
7/15/2020,296,296,296,296,1741
7/16/2020,266.5,310,266.5,266.5,9662
7/17/2020,255.5,255.5,240,240,3764
7/20/2020,216,216,216,216,3270
7/21/2020,194.5,216,194.5,194.5,10406
7/22/2020,200,213.5,200,213.5,1920
7/23/2020,234.5,234.5,196,224.5,6435
7/24/2020,219,224,210,210,2185
7/27/2020,210,210,189,189,2147
7/28/2020,170.5,170.5,170.5,170.5,2872
7/29/2020,153.5,177,153.5,153.5,7570
7/30/2020,168.5,168.5,168.5,168.5,287
7/31/2020,185,185,185,185,205
