Date,Open,High,Low,Close,Volume
1/3/2017,60.9,60.9,60.6,60.9,66
1/4/2017,60.3,60.7,60.1,60.1,315
1/5/2017,60.5,60.5,58.7,59.1,370
1/6/2017,59.1,59.1,58,58.6,319
1/9/2017,58.6,58.6,57,58,358
1/10/2017,57.5,59,57.5,57.5,167
1/11/2017,58,58.8,58,58.5,95
1/12/2017,58.6,58.6,57.6,58.1,110
1/13/2017,57.9,58.5,57.8,57.8,52
1/16/2017,57.8,59.3,57.8,58.5,162
1/17/2017,58.5,58.8,58.1,58.8,88
1/18/2017,58.5,58.7,58.1,58.4,51
1/19/2017,58.4,58.6,57.8,58.3,62
1/20/2017,58.3,58.9,58,58.4,39
1/23/2017,58.4,58.6,58.2,58.6,31
1/24/2017,59.2,59.2,58.7,58.8,79
2/2/2017,60.5,62.1,60.3,61,653
2/3/2017,61.7,61.9,61.3,61.6,216
2/6/2017,61.7,62.5,61.7,62.1,372
2/7/2017,64.5,64.7,63.2,63.6,650
2/8/2017,63.4,64.4,63.4,63.8,625
2/9/2017,64,65.4,64,64.7,549
2/10/2017,65,65.7,65,65.7,558
2/13/2017,66.8,72.2,66.8,72.2,3686
2/14/2017,72.8,73.2,70,70.1,1535
2/15/2017,70,71.5,70,71.4,763
2/16/2017,73.8,78.5,73.5,78.5,4123
2/17/2017,80,81.9,79.3,80,3444
2/18/2017,79,79.8,78,79.2,1167
2/20/2017,80.5,82.9,78.3,78.7,2092
2/21/2017,78.3,79.4,75.1,78.7,1272
2/22/2017,80.4,80.4,77.5,77.9,826
2/23/2017,78,78.5,77,77.9,569
2/24/2017,78.3,80.9,77.3,80,957
3/1/2017,81,84.5,80.2,80.6,2231
3/2/2017,84.4,85,81.4,82.2,1898
3/3/2017,82.2,82.2,80.5,81,594
3/6/2017,81.2,81.6,80.1,81.5,527
3/7/2017,81.6,81.9,80.7,81.8,410
3/8/2017,81.9,84.4,81.5,83.6,1372
3/9/2017,83.9,84,82.1,82.4,703
3/10/2017,82.4,82.5,79.9,81.3,696
3/13/2017,81.1,82.1,80.5,80.9,430
3/14/2017,81.2,83.1,81.2,82.4,456
3/15/2017,82.9,83.4,81.6,81.9,406
3/16/2017,83.4,89.5,82.7,84.3,3836
3/17/2017,84.8,86.9,84.2,84.5,1173
3/20/2017,85,85.9,83.6,85.1,532
3/21/2017,86,88.5,85.6,85.6,947
3/22/2017,84.4,85.6,83.9,85.5,442
3/23/2017,86.3,87.1,84.6,84.6,568
3/24/2017,84.7,84.9,83.6,83.7,443
3/27/2017,83.9,84.9,82.3,82.3,430
3/28/2017,82.7,83.3,78.2,80.3,1263
3/29/2017,80.8,82.2,80,82,338
3/30/2017,83,83.8,81.7,82,342
3/31/2017,81.8,82.9,81.7,82.3,219
4/5/2017,83.7,83.7,82.6,83.2,231
4/6/2017,85,86.7,83.2,83.2,923
4/7/2017,83.5,84.1,81.5,82.1,333
4/10/2017,82.9,82.9,81.6,82,282
4/11/2017,82.5,82.7,80.6,80.6,503
4/12/2017,80.5,80.6,79.2,79.8,539
4/13/2017,79.7,80.6,79.3,79.8,224
4/14/2017,79.8,79.8,77.2,77.8,550
4/17/2017,77.8,79.9,77,79,351
4/18/2017,80,80.1,79.2,79.9,170
4/19/2017,79.7,79.9,78.8,79.7,156
4/20/2017,79.7,81.5,79.3,81.1,404
4/21/2017,81.4,82.2,81,81.3,309
4/24/2017,82.3,82.4,79.5,80.6,310
4/25/2017,80.8,81.4,80.1,80.2,297
4/26/2017,80.8,82.5,80.1,82.5,402
4/27/2017,86.5,86.8,83.7,84,1485
4/28/2017,84.2,86.5,84.2,84.9,1022
5/2/2017,86.5,88.8,85.8,88,1651
5/3/2017,91,92.4,87.8,87.9,2120
5/4/2017,88.4,91.5,88.1,90.5,1352
5/5/2017,93.5,93.7,91,91,1210
5/8/2017,92.3,92.8,90.6,91.5,541
5/9/2017,91.7,92.3,87.6,88.4,850
5/10/2017,90,94.4,89.9,93.2,2081
5/11/2017,93.4,95.8,91.5,92,1925
5/12/2017,92.9,93.8,91.6,93.8,896
5/15/2017,94.5,96.8,94.1,94.3,1195
5/16/2017,94.6,95,92.9,93.6,619
5/17/2017,93.6,93.8,92.5,93,303
5/18/2017,92,92.8,91,91.9,555
5/19/2017,92.6,94.4,91.9,93.7,439
5/22/2017,94.2,96.3,92.6,96,891
5/23/2017,98.8,105.5,98,105.5,4237
5/24/2017,107,112,104,110.5,4147
5/25/2017,110,113,107,111.5,1540
5/26/2017,112,115.5,108.5,108.5,2021
5/31/2017,108,117.5,107,117.5,1987
6/1/2017,118,120,113.5,114.5,1741
6/2/2017,115,116,112.5,114.5,915
6/3/2017,116,121.5,114.5,114.5,2062
6/5/2017,116,117.5,114,115,711
6/6/2017,119,121.5,116,117.5,2456
6/7/2017,119.5,123,118,121,2016
6/8/2017,121.5,121.5,118,119,832
6/9/2017,120,121,118,118.5,657
6/12/2017,115.5,116,112,112.5,1093
6/13/2017,113.5,116,111,116,782
6/14/2017,116,117.5,107,114,1316
6/15/2017,112,113.5,110.5,113,505
6/16/2017,113,116,112.5,116,684
6/19/2017,116,116,113.5,116,489
6/20/2017,117,120,115,115,903
6/21/2017,115,115.5,113,114,390
6/22/2017,115.5,116,114,114.5,303
6/23/2017,114,115,113.5,113.5,282
6/26/2017,113.5,115.5,113.5,115.5,334
6/27/2017,115.5,121,115.5,121,1434
6/28/2017,124,128.5,123.5,127,3234
6/29/2017,129,131,124,126.5,1527
6/30/2017,123,125,121.5,123.5,701
7/3/2017,124.5,125,121,122.5,562
7/4/2017,123.5,126.5,122,122,643
7/5/2017,126,134,125,132,3536
7/6/2017,131,134,129.5,129.5,1397
7/7/2017,129.5,135,129,132,1564
7/10/2017,133.5,136.5,130.5,131.5,1119
7/11/2017,131.5,133,129.5,132,738
7/12/2017,133,135,131,133,708
7/13/2017,135,142,135,140,2057
7/14/2017,140.5,142,137.5,141,1445
7/17/2017,138.5,140.5,138,139.5,1252
7/18/2017,141,142,138,142,833
7/19/2017,143.5,144.5,137,137,1796
7/20/2017,143.5,150.5,140.5,150.5,5262
7/21/2017,156,165,151.5,162.5,5332
7/24/2017,161.5,165,157,165,1945
7/25/2017,168.5,181.5,165.5,180,4802
7/26/2017,181.5,184.5,178.5,180,3092
7/27/2017,181.5,182,176,176,1974
7/28/2017,176,180,173.5,176,1992
7/31/2017,180.5,184.5,175.5,176,2900
8/1/2017,178,182,176,179,1825
8/2/2017,181,183,178,178,1180
8/3/2017,180,184.5,172,172.5,3634
8/4/2017,174,177,171.5,173,1815
8/7/2017,175,176.5,165,167,2708
8/8/2017,169,170,162,167,1486
8/9/2017,165.5,168.5,162,162,966
8/10/2017,162,167,159,159,2122
8/11/2017,157,160.5,153.5,155,1678
8/14/2017,156.5,158.5,148,148,1608
8/15/2017,152,162.5,152,162.5,2557
8/16/2017,164,169.5,159,159,3228
8/17/2017,158.5,161.5,154.5,156.5,2060
8/18/2017,154.5,155.5,151,154,1040
8/21/2017,155,160.5,152,156.5,1456
8/22/2017,157,159,155.5,155.5,696
8/23/2017,156,158.5,152.5,153.5,793
8/24/2017,154,157,154,155.5,606
8/25/2017,157.5,158,154,155,579
8/28/2017,155,156.5,154.5,156.5,478
8/29/2017,162.5,169,162.5,168.5,3878
8/30/2017,170,174,166,166,2252
8/31/2017,167.5,168,162.5,162.5,1169
9/1/2017,164.5,171.5,163.5,168,1727
9/4/2017,169,171.5,164,166.5,1466
9/5/2017,171.5,173,166,166,1674
9/6/2017,167,167.5,158.5,163,1106
9/7/2017,165.5,166.5,158.5,160,850
9/8/2017,161,162,159,159,458
9/11/2017,161,161.5,156.5,159,548
9/12/2017,160.5,161,157,157,422
9/13/2017,158,158.5,155,156.5,365
9/14/2017,157,158.5,153.5,158,600
9/15/2017,159.5,159.5,155.5,155.5,310
9/18/2017,156,170,154,168,1614
9/19/2017,167,167,159.5,159.5,1060
9/20/2017,159.5,161.5,156,156.5,682
9/21/2017,159,159.5,156.5,158.5,533
9/22/2017,160,160,156,156,409
9/25/2017,157.5,158,145,148,1088
9/26/2017,146.5,149,143.5,143.5,800
9/27/2017,143.5,148,143.5,145.5,687
9/28/2017,146.5,148.5,145.5,147.5,317
9/29/2017,148,151.5,147,147,625
9/30/2017,150,150.5,148.5,150.5,271
10/2/2017,150.5,157.5,150.5,156,666
10/3/2017,157,159.5,155,156.5,548
10/5/2017,163,166,160,160,1776
10/6/2017,160,161.5,157,157,574
10/11/2017,158.5,161,157,157.5,550
10/12/2017,160,164,158,161.5,1180
10/13/2017,161.5,162.5,159.5,160,547
10/16/2017,161.5,163.5,160,161.5,488
10/17/2017,163.5,169,160,160,1938
10/18/2017,161.5,162.5,155.5,156,804
10/19/2017,158,159,157,158,282
10/20/2017,156.5,158,155,157,283
10/23/2017,158.5,161.5,158.5,159,371
10/24/2017,158.5,161,158,160,287
10/25/2017,163.5,167,159,159,1069
10/26/2017,159.5,161,159,161,299
10/27/2017,161.5,163.5,157,158,432
10/30/2017,160,160.5,154,158,435
10/31/2017,159,164.5,159,163,797
11/1/2017,163.5,171,161,167,2496
11/2/2017,167,179.5,165.5,179,4102
11/3/2017,181,181,172,175,3074
11/6/2017,176,180,173,174,1752
11/7/2017,180,184.5,175,176,4345
11/8/2017,176.5,176.5,174,176,983
11/9/2017,176.5,183.5,171,177,2976
11/10/2017,178,179,170.5,173,1291
11/13/2017,172.5,175,166,168,1165
11/14/2017,168,169,163,164,1067
11/15/2017,164.5,171.5,163,171,1201
11/16/2017,169,173,168.5,170,595
11/17/2017,171.5,174.5,168.5,173,734
11/20/2017,174.5,179,174,175,1748
11/21/2017,175.5,177,171.5,177,943
11/22/2017,182,182,174.5,175,1305
11/23/2017,176,181,173.5,181,1217
11/24/2017,184,199,184,199,3317
11/27/2017,202,208.5,200,200,4981
11/28/2017,203,212,199,212,3693
11/29/2017,216,221,202,205,3254
11/30/2017,200,206,198,200,1770
12/1/2017,205,213,199,201,3381
12/4/2017,202,206,200.5,203.5,1104
12/5/2017,207,207,183.5,184,3656
12/6/2017,186,188.5,173.5,175.5,2390
12/7/2017,179.5,184,176.5,182,1803
12/8/2017,181,185,176,185,1300
12/11/2017,187,195,184,193,1501
12/12/2017,192.5,195.5,188.5,189,985
12/13/2017,191,194,190.5,191.5,782
12/14/2017,193,202.5,192.5,197,2021
12/15/2017,196,196,191,194,867
12/18/2017,196.5,198,194,194,543
12/19/2017,194,197.5,194,197,455
12/20/2017,199,205.5,199,202.5,1732
12/21/2017,202.5,204,201,201.5,632
12/22/2017,202,203,195.5,195.5,889
12/25/2017,196,198.5,193.5,195.5,531
12/26/2017,197,197.5,187,190.5,1022
12/27/2017,188,193,188,193,638
12/28/2017,192.5,205,191.5,202,1206
