Date,Open,High,Low,Close,Volume
1/2/2020,17.7,18.55,17.7,18.55,6393
1/3/2020,18.55,18.55,17,17.3,3049
1/6/2020,18.5,18.8,18.05,18.45,5289
1/7/2020,18.1,18.15,17.7,18.05,1461
1/8/2020,18.05,18.05,17.5,17.8,913
1/9/2020,18.35,18.6,17.7,17.7,1501
1/10/2020,18.25,18.25,17.15,17.7,1229
1/13/2020,17.7,17.9,17.45,17.6,612
1/14/2020,17.75,17.75,17.4,17.6,452
1/15/2020,18.05,18.4,17.9,18,3527
1/16/2020,18.2,18.2,17.85,17.95,879
1/17/2020,18.25,19.3,18.25,18.5,7496
1/20/2020,20.1,20.35,19.95,20.35,6958
1/30/2020,22.35,22.35,22.35,22.35,93
1/31/2020,24.55,24.55,24.55,24.55,254
2/3/2020,27,27,27,27,250
2/4/2020,29.7,29.7,28.35,29.7,24619
2/5/2020,32.55,32.55,29.95,31.5,10078
2/6/2020,31.5,31.5,28.35,28.35,6269
2/7/2020,28.7,31.15,28.7,31.15,7314
2/10/2020,28.05,30.05,28.05,28.4,2727
2/11/2020,28.6,28.6,27,27.15,2078
2/12/2020,27.2,27.2,25.5,25.6,2921
2/13/2020,26.2,26.2,25.3,26.2,1230
2/14/2020,26.35,26.35,26,26.2,636
2/17/2020,27.65,27.65,26.55,27.1,729
2/18/2020,27.2,27.2,27.1,27.2,492
2/19/2020,26.95,27,26.8,26.9,722
2/20/2020,27.1,27.2,26.9,27.15,487
2/21/2020,27.3,29.3,27.3,29,1672
2/24/2020,30.8,31.9,30.1,31.9,6275
2/25/2020,32.9,34.7,31.9,32,17739
2/26/2020,33,34,32.7,33.35,9503
2/27/2020,33.55,36.65,32.9,36.65,29983
3/2/2020,37,39,36.6,38.3,41385
3/3/2020,37.25,38.3,35.55,37.05,15374
3/4/2020,38.3,39,37.6,37.6,18430
3/5/2020,37,38.5,36.8,38.05,9691
3/6/2020,38.75,41.85,38.75,39.75,31214
3/9/2020,40.45,41.9,37.2,39,18130
3/10/2020,39,39.5,35.5,35.8,11129
3/11/2020,37.7,39.1,37.6,38.95,14929
3/12/2020,39.2,41.3,36.1,37.75,25693
3/13/2020,35.6,37,34,34.65,12625
3/16/2020,36,38.1,36,38.1,15617
3/17/2020,39.3,40,36.05,37.4,14641
3/18/2020,38.45,39.4,36.5,38,13317
3/19/2020,37.5,38.15,35,35.85,10949
3/20/2020,37.1,37.25,36,36.2,6423
3/23/2020,37.5,38,35.7,36.7,8228
3/24/2020,37.2,37.45,36,37.25,6325
3/25/2020,37.45,40.3,37.4,37.6,14850
3/26/2020,38.15,39.4,37.65,38.5,9359
3/27/2020,38.5,38.95,37.05,37.1,8530
3/30/2020,37.3,38.45,37.25,37.4,5430
3/31/2020,37.65,38.05,37.2,37.6,3961
4/1/2020,38,39.4,37.7,38.95,11780
4/6/2020,40,42.8,39.7,42.8,12470
4/7/2020,44.2,47,44,46,21390
4/8/2020,47.3,48.95,44.9,45.5,16048
4/9/2020,45.6,47.75,45.2,47.6,11588
4/10/2020,48,49.6,46.5,46.6,9772
4/13/2020,49.5,51.2,48.1,51.2,12012
4/14/2020,52.7,56,51.3,52.7,16123
4/15/2020,50.1,53.9,50,50.3,9937
4/16/2020,51,54.4,51,52.7,12968
4/17/2020,52.4,53.1,51.2,53,8518
4/20/2020,55.8,55.9,53.5,54.9,10907
4/21/2020,54.8,54.8,53.4,53.9,4588
4/22/2020,54.6,59.2,54.6,59.2,15420
4/23/2020,60.5,65,58.4,63.5,31713
4/24/2020,63.5,69.8,63.5,69.8,7907
4/27/2020,74.7,76.7,71,76.7,6775
4/28/2020,81.8,84.3,79.8,81.9,10814
4/29/2020,82.8,90,82.8,90,6789
4/30/2020,90,90,83.1,87.5,4596
5/4/2020,88.1,96.2,88.1,96.2,1591
5/5/2020,105.5,105.5,105.5,105.5,885
5/6/2020,116,116,100,100,3516
5/7/2020,107.5,107.5,93,100,3939
5/8/2020,100,100,90,90,2916
5/11/2020,90.5,90.5,81.2,87,4080
5/12/2020,90,94.9,87.4,94.9,2849
5/13/2020,98.9,104,96,104,3028
5/14/2020,105,113,100.5,103,2979
5/15/2020,108,113,100,113,2275
5/18/2020,124,124,124,124,861
5/19/2020,136,136,120.5,136,3656
5/20/2020,149.5,149.5,143,149.5,10524
5/21/2020,149.5,164,147,164,3167
5/22/2020,172,180,172,178,2547
