Date,Open,High,Low,Close,Volume
12/1/2016,88.6,88.6,87.6,87.6,160
12/2/2016,88.1,88.5,87.7,88.3,134
12/5/2016,88.3,90.9,88.3,89.8,312
12/6/2016,90,90.3,89.4,90.3,216
12/7/2016,91.2,91.2,89.8,89.8,126
12/8/2016,89.8,90.2,88.9,90.2,219
12/9/2016,90.4,90.8,90.2,90.8,237
12/12/2016,90.6,91.7,90.6,91.2,270
12/13/2016,91.2,92,90.9,92,291
12/14/2016,93.1,94.8,92,93,670
12/15/2016,93,93,91.5,92.8,192
12/16/2016,93.8,94.6,93.4,93.9,377
12/19/2016,94.7,95,93.8,94.2,264
12/20/2016,94.8,94.8,93.6,94.5,232
12/21/2016,95,97.6,94.8,96.9,644
12/22/2016,98.5,98.8,93.3,94,808
12/23/2016,94,94,92.1,92.4,253
12/26/2016,91.8,92.8,91.5,92.2,167
12/27/2016,93.1,93.1,91.8,92.5,112
12/28/2016,92.9,93,92.2,92.5,336
12/29/2016,93,93,91.6,92.4,91
12/30/2016,92.4,93,91.9,93,95
1/3/2017,93,93.3,92,92.5,48
1/4/2017,92.8,93.9,92.5,93.3,150
1/5/2017,93.8,93.8,92.8,93.7,116
1/6/2017,93.7,93.9,93,93.5,117
1/9/2017,93.4,94.2,93.3,93.6,226
1/10/2017,93.9,94.2,93.6,94.2,121
1/11/2017,93.3,93.5,92,93.5,202
1/12/2017,93.3,94.4,93.2,93.5,86
1/13/2017,94.1,94.1,93,93.5,89
1/16/2017,93.5,93.6,92.5,93.4,108
1/17/2017,93.4,93.4,92.2,93.1,114
1/18/2017,93.3,93.3,92.1,92.6,66
1/19/2017,92.7,93,92.1,92.9,65
1/20/2017,92.9,93,92.5,93,46
1/23/2017,92.4,92.9,92.3,92.9,56
1/24/2017,92.6,93.4,92.4,93.4,94
2/2/2017,93.7,94,92.9,93.7,65
2/3/2017,93.8,94.5,93.7,94.5,109
2/6/2017,94.8,95.6,94.4,95,137
2/7/2017,95,95.4,94.6,95,60
2/8/2017,94.8,95,94.3,95,144
2/9/2017,95,95,94.5,94.9,64
2/10/2017,95.5,95.5,94.4,94.8,80
2/13/2017,96,96.5,95.5,96.5,242
2/14/2017,97,98.4,96.9,98,375
2/15/2017,100,102.5,99.4,100,679
2/16/2017,100,102,98.4,99.9,388
2/17/2017,99.5,101,98.8,100.5,204
2/18/2017,101.5,102,100,101.5,214
2/20/2017,102,102,100,101.5,243
2/21/2017,102,102,99.9,101,201
2/22/2017,101.5,101.5,100,100.5,132
2/23/2017,101,104,100.5,103.5,536
2/24/2017,108.5,112,108.5,111,1405
3/1/2017,114.5,114.5,111.5,113,781
3/2/2017,114.5,114.5,111,113,434
3/3/2017,112.5,113,111,113,313
3/6/2017,114,118,113.5,116.5,790
3/7/2017,116.5,117.5,115,117.5,410
3/8/2017,118,121.5,117.5,119,818
3/9/2017,119.5,120,117.5,118.5,409
3/10/2017,118.5,118.5,114.5,118.5,463
3/13/2017,120,123.5,119.5,123,889
3/14/2017,123.5,123.5,121.5,123.5,417
3/15/2017,123.5,124,122,124,270
3/16/2017,125.5,132.5,125.5,127,881
3/17/2017,128,128.5,126,128.5,407
3/20/2017,130,131,128.5,130.5,486
3/21/2017,130,130,128.5,130,332
3/22/2017,128,130,126,130,368
3/23/2017,130.5,135,130.5,134.5,785
3/24/2017,135,136.5,132.5,134.5,497
3/27/2017,134,134,128.5,129.5,581
3/28/2017,131,131,125,128,732
3/29/2017,129,129,127.5,129,181
3/30/2017,129,129.5,127.5,129,193
3/31/2017,129,130,127.5,130,235
4/5/2017,130.5,136,130.5,136,780
4/6/2017,136,137,133,135,705
4/7/2017,134.5,135.5,131,134,407
4/10/2017,134,135,131,132,232
