Date,Open,High,Low,Close,Volume
9/1/2015,155.5,157,153.5,154.5,291
9/2/2015,153,154.5,151.5,153.5,125
9/3/2015,154.5,158.5,153.5,158.5,153
9/4/2015,159.5,159.5,155.5,157,194
9/7/2015,156,171.5,156,170,469
9/8/2015,176,180.5,174.5,176.5,1469
9/9/2015,184,184,178,178.5,794
9/10/2015,179,186,177.5,182.5,1050
9/11/2015,185,185,178.5,180,633
9/14/2015,181,183.5,179,183.5,551
9/15/2015,186,191,184,188.5,1758
9/16/2015,190.5,192.5,187,187.5,977
9/17/2015,190,190,187,187.5,753
9/18/2015,189,194,189,193.5,1447
9/21/2015,193.5,200,193,198,1837
9/22/2015,193.5,194.5,187,187,1210
9/23/2015,187,189.5,184,184,696
9/24/2015,186,186.5,174,179.5,962
9/25/2015,179.5,189,179,189,749
9/30/2015,189,192,185.5,190.5,808
10/1/2015,192,197.5,191,196.5,1372
10/2/2015,198,201,196,196.5,1081
10/5/2015,199,203,198.5,201,2501
10/6/2015,204,221,203.5,221,3385
10/7/2015,225,240.5,218.5,231,3567
10/8/2015,233.5,242,225.5,226.5,2387
10/12/2015,233,239,229,236.5,1362
10/13/2015,236.5,253.5,236,250,3105
10/14/2015,251,267.5,248.5,267,2634
10/15/2015,272,280.5,266,266,2491
10/16/2015,271.5,274.5,268,270,1586
10/19/2015,274,287.5,272.5,285,1998
10/20/2015,287.5,294,276,276.5,2467
10/21/2015,277,282,273.5,279.5,1206
10/22/2015,279.5,289.5,279.5,282.5,1394
10/23/2015,288,289.5,269,271.5,1945
10/26/2015,275,281,274,280,1159
10/27/2015,280.5,284.5,280,280,783
10/28/2015,283,303.5,281.5,303,2409
10/29/2015,306,308,293,295,1622
10/30/2015,296.5,320,289,317,2365
11/2/2015,311,338,311,338,2228
11/3/2015,340,347.5,334,336,1950
11/4/2015,341,345,335.5,338.5,1124
11/5/2015,340.5,362,338.5,360,2090
11/6/2015,363.5,377,362,373,1876
11/9/2015,370,376.5,337,341,2783
11/10/2015,336,360.5,336,357.5,1677
11/11/2015,368,372,322,328,2958
11/12/2015,338.5,339,312,325,3132
11/13/2015,333,338,326,335,1868
11/16/2015,333,354.5,327.5,354.5,1927
11/17/2015,355,361,341.5,341.5,2033
11/18/2015,344,358.5,340,349.5,2077
11/19/2015,358.5,383,356,383,3144
11/20/2015,383,406,381.5,403,2760
11/23/2015,395,400.5,386,395,1785
11/24/2015,400,413,390.5,395,2004
11/25/2015,402,405,398,402,1331
11/26/2015,407,411,387,394,1921
11/27/2015,394,398.5,380,380.5,1605
11/30/2015,386,395,380,390,1829
12/1/2015,391.5,393,384,390,1163
12/2/2015,392,397.5,374,375,2507
12/3/2015,380,384,368,377,1470
12/4/2015,381.5,397,380.5,396,1795
12/7/2015,405,409,390,390,1525
12/8/2015,391,392,380.5,385,1057
12/9/2015,389,389.5,352,355.5,2809
12/10/2015,369,369.5,354,364.5,1467
12/11/2015,368,369.5,341.5,342,1907
12/14/2015,329,354,329,352,1639
12/15/2015,353.5,355,343.5,345,1882
12/16/2015,350,366,348,356,1629
12/17/2015,363,376.5,361.5,367,1458
12/18/2015,368,371.5,362.5,364.5,785
12/21/2015,364.5,369.5,360.5,364,1178
12/22/2015,369,381,367,381,1162
12/23/2015,381,383.5,367.5,369.5,1284
12/24/2015,372.5,375,350,358,1545
12/25/2015,358.5,372.5,355.5,369,1300
12/28/2015,364.5,369,358,358.5,801
12/29/2015,357,362,353,358.5,945
12/30/2015,362.5,369.5,361.5,361.5,992
12/31/2015,362,366,358,363,523
1/4/2016,362.5,362.5,353,359,593
1/5/2016,359,361,354,354,625
1/6/2016,356.5,360.5,340.5,340.5,1077
1/7/2016,345,346,306.5,306.5,2142
1/8/2016,304,317,296,315,1506
1/11/2016,313,313,283.5,286.5,1624
1/12/2016,290,295,258,258,3178
1/13/2016,262.5,266.5,258,265,1943
1/14/2016,253.5,262,246,254,1781
1/15/2016,266,277.5,263,269,2318
1/18/2016,266.5,295.5,261.5,295.5,2577
1/19/2016,299,322,299,317,2997
1/20/2016,322,322,297,306,3051
1/21/2016,307.5,315,304,305.5,2574
1/22/2016,313,316,300.5,310,1726
1/25/2016,318,329,311,327,2655
1/26/2016,327,332.5,322,330,1441
1/27/2016,333,338.5,329.5,330.5,1969
1/28/2016,328,332.5,318,326.5,1595
1/29/2016,326,339.5,325,336.5,1890
1/30/2016,341,370,341,370,2448
2/1/2016,370,374.5,359,359,1917
2/2/2016,359,372,354,361,1744
2/3/2016,361.5,366.5,345.5,350,1566
2/15/2016,349,359,330,335.5,1239
2/16/2016,337,340,325.5,332.5,1341
2/17/2016,335.5,362,335.5,356,1792
2/18/2016,363,366,355,360,1495
2/19/2016,362,376.5,361,365,1573
2/22/2016,346,382,346,382,2224
2/23/2016,386,402,376.5,398,2229
2/24/2016,398,403,387,390,1683
2/25/2016,401,403.5,385,385,1931
2/26/2016,386,390,366,372,2368
3/1/2016,372,378.5,367,372.5,1112
3/2/2016,377,378,363.5,364.5,1232
3/3/2016,366,372.5,360,367.5,1349
3/4/2016,369,372,365,365.5,964
3/7/2016,367,369,350,352,1182
3/8/2016,355,361.5,351.5,354.5,977
3/9/2016,354.5,358.5,350.5,352,514
