2330 台積電 -- 20110101-99999999,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ
2011/01/03,71.5,71.6,70.8,71.1,"35,747","2,541,551",0.1408,0.138,"25,910,078","1,842,206",71,71.1,0.1407,7.721,1.76,"7,394",11.99,12.01,3.43,3.43
2011/01/04,71,71.6,70.8,71.2,"36,048","2,567,399",0.1406,0.1391,"25,910,078","1,844,797",71.1,71.2,0.1405,7.756,1.636,"8,813",12.01,12.03,3.44,3.44
2011/01/05,70.9,71.1,69.6,69.8,"54,327","3,811,818",-1.9663,0.2097,"25,910,078","1,808,523",69.8,69.9,-1.9859,7.733,2.184,"12,673",11.77,11.79,3.37,3.37
2011/01/06,69.8,71,69.7,71,"46,802","3,295,606",1.7192,0.1806,"25,910,078","1,839,615",70.9,71,1.7046,7.834,2.443,"8,619",11.97,12,3.43,3.43
2011/01/07,71.9,73,71.9,72.5,"170,328","12,335,418",2.1127,0.6574,"25,910,078","1,878,480",72.4,72.5,2.0907,8.343,8.044,"23,691",12.23,12.25,3.5,3.5
2011/01/10,73,74.2,72.6,74.2,"69,703","5,110,967",2.3448,0.269,"25,910,078","1,922,527",74,74.2,2.3178,8.503,5.307,"16,369",12.51,12.54,3.58,3.58
2011/01/11,74.1,74.9,73.8,74.5,"82,758","6,162,045",0.4043,0.3194,"25,910,078","1,930,300",74.4,74.5,0.4035,8.429,4.912,"16,810",12.56,12.59,3.6,3.6
2011/01/12,74.7,75,74.7,74.9,"53,637","4,014,372",0.5369,0.207,"25,910,078","1,940,664",74.8,74.9,0.5355,8.443,2.945,"10,433",12.63,12.66,3.62,3.62
2011/01/13,75.1,75.3,74.2,74.6,"93,105","6,938,412",-0.4005,0.3593,"25,910,078","1,932,891",74.5,74.6,-0.4013,8.4,4.914,"12,512",12.58,12.61,3.6,3.6
2011/01/14,74.4,74.8,74.1,74.8,"29,817","2,220,104",0.2681,0.1151,"25,910,078","1,938,073",74.7,74.8,0.2677,8.425,2.213,"5,767",12.61,12.64,3.61,3.61
2011/01/17,75.4,75.9,75.3,75.8,"67,400","5,092,053",1.3369,0.2601,"25,910,078","1,963,983",75.8,75.9,1.328,8.584,4.131,"11,899",12.78,12.81,3.66,3.66
2011/01/18,75.5,77.4,75.2,76.8,"57,357","4,373,750",1.3193,0.2214,"25,910,078","1,989,893",76.8,76.9,1.3106,8.632,3.506,"13,917",12.95,12.98,3.71,3.71
2011/01/19,76.9,78.3,76.6,78,"87,297","6,768,302",1.5625,0.3369,"25,910,078","2,020,986",77.9,78,1.5504,8.671,4.635,"19,410",13.15,13.18,3.77,3.77
2011/01/20,77,77,76.1,76.4,"43,718","3,341,141",-2.0513,0.1687,"25,910,078","1,979,529",76.3,76.4,-2.0726,8.553,2.901,"14,962",12.88,12.91,3.69,3.69
2011/01/21,74,75.2,74,74.6,"81,475","6,091,444",-2.356,0.3145,"25,910,078","1,932,891",74.5,74.6,-2.3842,8.415,5.237,"15,460",12.58,12.61,3.6,3.6
2011/01/24,75.2,75.4,74.6,75.3,"46,169","3,467,457",0.9383,0.1782,"25,910,078","1,951,028",75.2,75.3,0.934,8.5,3.844,"8,248",12.7,12.72,3.64,3.64
2011/01/25,75.9,75.9,74.9,75,"50,794","3,826,117",-0.3984,0.196,"25,910,078","1,943,255",75,75.1,-0.3992,8.426,3.554,"9,000",12.65,12.67,3.62,3.62
2011/01/26,74.6,75.2,74.3,74.6,"66,830","4,989,976",-0.5333,0.2579,"25,910,078","1,932,891",74.6,74.7,-0.5348,8.321,4.05,"11,664",12.58,12.61,3.6,3.6
2011/01/27,74.9,75.4,74.8,75.2,"69,892","5,251,216",0.8043,0.2697,"25,910,078","1,948,437",75.2,75.3,0.8011,8.343,3.896,"13,786",12.68,12.71,3.63,3.63
2011/01/28,75.2,76.9,74.9,76.3,"110,404","8,379,115",1.4628,0.4261,"25,912,345","1,977,111",76.3,76.4,1.4522,8.423,5.959,"22,572",12.87,12.89,3.68,3.68
2011/02/08,77,77,74.8,75.5,"110,969","8,381,585",-1.0485,0.4282,"25,912,345","1,956,382",75.4,75.5,-1.054,8.308,5.322,"26,740",12.73,12.76,3.65,3.65
2011/02/09,75.5,75.6,73.8,73.8,"81,246","6,040,472",-2.2517,0.3135,"25,912,345","1,912,331",73.8,73.9,-2.2774,8.215,4.235,"20,142",12.45,12.47,3.56,3.56
2011/02/10,73.1,73.4,72,72,"83,632","6,078,858",-2.439,0.3227,"25,912,345","1,865,688",72,72.2,-2.4693,8.169,4.313,"20,588",12.14,12.17,3.48,3.48
2011/02/11,72.2,72.4,70.9,71.4,"112,430","8,044,680",-0.8333,0.4339,"25,912,345","1,850,141",71.3,71.4,-0.8368,8.315,4.857,"26,850",12.04,12.07,3.45,3.45
2011/02/14,72,72.9,71.5,72.5,"66,889","4,841,305",1.5406,0.2581,"25,912,345","1,878,645",72.4,72.5,1.5289,8.37,4.125,"14,377",12.23,12.25,3.5,3.5
2011/02/15,72.4,73.1,71.4,72.5,"56,495","4,102,685",0,0.218,"25,912,345","1,878,645",72.5,72.6,0,8.335,3.155,"13,726",12.23,12.25,3.5,3.5
2011/02/16,72.4,72.7,71.9,72.1,"54,423","3,933,560",-0.5517,0.21,"25,912,345","1,868,280",72,72.1,-0.5533,8.297,3.273,"11,904",12.16,12.18,3.48,3.48
2011/02/17,72.4,72.9,71.6,72.5,"49,330","3,562,377",0.5548,0.1904,"25,912,345","1,878,645",72.4,72.5,0.5533,8.371,2.984,"11,030",12.23,12.25,3.5,3.5
2011/02/18,73.1,73.9,73,73,"74,599","5,483,477",0.6897,0.2879,"25,912,345","1,891,601",73,73.1,0.6873,8.276,4.372,"14,923",12.31,12.34,3.52,3.53
2011/02/21,73.1,73.4,72.3,73.4,"39,070","2,849,659",0.5479,0.1508,"25,912,345","1,901,966",73.3,73.4,0.5464,8.326,2.487,"7,394",12.38,12.4,3.54,3.54
2011/02/22,72.2,72.5,71.2,72.5,"82,661","5,929,226",-1.2262,0.319,"25,912,345","1,878,645",72.4,72.5,-1.2337,8.382,4.053,"18,155",12.23,12.25,3.5,3.5
2011/02/23,71.5,71.9,70.5,71,"80,262","5,724,036",-2.069,0.3097,"25,912,345","1,839,776",71,71.1,-2.0907,8.348,4.373,"19,137",11.97,12,3.43,3.43
2011/02/24,71,71.4,70.5,70.5,"62,768","4,454,063",-0.7042,0.2422,"25,912,345","1,826,820",70.5,70.7,-0.7067,8.276,3.921,"12,755",11.89,11.91,3.4,3.4
2011/02/25,70.6,71.1,69.9,70.5,"78,873","5,559,067",0,0.3044,"25,912,723","1,826,846",70.5,70.6,0,8.219,3.404,"17,438",11.89,11.91,3.4,3.4
2011/03/01,70,71.8,70,71.4,"84,618","6,003,532",1.2766,0.3266,"25,912,723","1,850,168",71.3,71.4,1.2685,7.955,4.803,"15,496",12.04,12.07,3.45,3.45
2011/03/02,70.8,71,70.4,70.4,"53,047","3,745,323",-1.4006,0.2047,"25,912,723","1,824,255",70.4,70.5,-1.4105,7.941,3.241,"12,752",11.87,11.9,3.4,3.4
2011/03/03,70.1,71.6,70.1,70.8,"59,498","4,214,044",0.5682,0.2296,"25,912,723","1,834,620",70.7,70.8,0.5666,7.878,3.31,"10,928",11.94,11.96,3.42,3.42
2011/03/04,71.5,72,71.3,71.8,"60,659","4,348,797",1.4124,0.2341,"25,912,723","1,860,533",71.7,71.8,1.4025,7.948,3.195,"11,646",12.11,12.13,3.47,3.47
2011/03/07,71.6,71.7,70.9,70.9,"30,172","2,149,438",-1.2535,0.1164,"25,912,723","1,837,212",70.9,71,-1.2614,7.911,2.228,"7,613",11.96,11.98,3.42,3.42
2011/03/08,70.5,71.8,70.5,71.5,"55,818","3,982,273",0.8463,0.2154,"25,912,723","1,852,759",71.4,71.5,0.8427,7.947,3.631,"9,129",12.06,12.08,3.45,3.45
2011/03/09,72.2,72.2,71.1,71.4,"46,796","3,350,255",-0.1399,0.1806,"25,912,723","1,850,168",71.3,71.4,-0.14,7.934,2.874,"7,702",12.04,12.07,3.45,3.45
2011/03/10,72.1,72.1,70.1,70.5,"64,180","4,539,678",-1.2605,0.2477,"25,912,723","1,826,846",70.5,70.6,-1.2685,7.931,3.933,"13,650",11.89,11.91,3.4,3.4
2011/03/11,70,70.6,69.5,70,"52,600","3,687,666",-0.7092,0.203,"25,912,723","1,813,890",70,70.1,-0.7117,7.944,3.385,"12,715",11.8,11.83,3.38,3.38
2011/03/14,70.3,70.5,69.1,70.3,"48,041","3,354,385",0.4286,0.1854,"25,912,723","1,821,664",70.3,70.4,0.4277,8.024,2.672,"10,839",11.85,11.88,3.39,3.4
2011/03/15,70,70.1,66.2,68,"117,025","7,953,678",-3.2717,0.4516,"25,912,723","1,762,065",67.9,68,-3.3264,8.03,4.371,"26,883",11.47,11.49,3.28,3.28
2011/03/16,68.8,69.1,68.1,68.5,"62,389","4,274,786",0.7353,0.2408,"25,912,723","1,775,021",68.4,68.5,0.7326,8.001,3.051,"12,755",11.55,11.58,3.31,3.31
2011/03/17,66.8,67.5,65.7,67.4,"105,442","7,033,491",-1.6058,0.4069,"25,912,723","1,746,517",67.3,67.4,-1.6189,7.913,5.361,"22,945",11.37,11.39,3.25,3.26
2011/03/18,67.8,68.4,67.2,68.3,"55,721","3,780,251",1.3353,0.215,"25,912,723","1,769,838",68.2,68.3,1.3265,7.911,3.015,"13,797",11.52,11.54,3.3,3.3
2011/03/21,68.3,69.1,68,69,"36,534","2,510,013",1.0249,0.141,"25,912,723","1,787,977",68.9,69,1.0197,7.924,2.629,"9,293",11.64,11.66,3.33,3.33
2011/03/22,69.5,69.5,68.4,68.6,"34,736","2,393,692",-0.5797,0.134,"25,912,723","1,777,612",68.6,68.7,-0.5814,7.841,2.293,"8,792",11.57,11.59,3.31,3.31
2011/03/23,69.1,69.1,68.1,68.7,"31,238","2,142,998",0.1458,0.1206,"25,912,723","1,780,204",68.6,68.7,0.1457,7.818,2.245,"8,969",11.59,11.61,3.32,3.32
2011/03/24,69.1,70.1,69,69.4,"44,747","3,111,389",1.0189,0.1727,"25,912,723","1,798,342",69.4,69.5,1.0138,7.882,3.279,"10,271",11.7,11.73,3.35,3.35
2011/03/25,70.4,71.2,70,71.2,"51,712","3,656,021",2.5937,0.1996,"25,912,723","1,844,985",71.1,71.2,2.5606,8.055,3.587,"14,870",12.01,12.03,3.44,3.44
2011/03/28,70.6,71,70.3,71,"31,030","2,197,248",-0.2809,0.1197,"25,912,723","1,839,803",70.9,71,-0.2813,8.086,2.843,"8,150",11.97,12,3.43,3.43
2011/03/29,70.6,71.2,70.4,70.8,"34,871","2,468,543",-0.2817,0.1346,"25,912,723","1,834,620",70.6,70.8,-0.2821,8.023,2.79,"8,045",11.94,11.97,3.42,3.42
2011/03/30,70.3,70.8,70,70.3,"60,975","4,290,358",-0.7062,0.2353,"25,912,723","1,821,664",70.3,70.4,-0.7087,7.921,3.858,"11,251",11.85,11.88,3.39,3.4
2011/03/31,71,71,70,70.6,"46,429","3,272,055",0.4267,0.1792,"25,914,193","1,829,542",70.5,70.6,0.4258,7.919,3.081,"7,943",11.91,11.93,3.41,3.41
2011/04/01,70.7,70.8,70.1,70.7,"30,274","2,133,378",0.1416,0.1168,"25,914,193","1,832,133",70.6,70.7,0.1415,7.911,2.294,"5,174",11.92,11.95,3.41,3.41
2011/04/06,71.5,72.9,71.5,72.9,"114,460","8,301,842",3.1117,0.4417,"25,914,193","1,889,144",72.8,72.9,3.0643,8.022,6.146,"25,496",12.29,12.32,3.52,3.52
2011/04/07,73,73,72.3,72.8,"45,215","3,283,279",-0.1372,0.1745,"25,914,193","1,886,553",72.7,72.8,-0.1373,7.966,2.992,"9,827",12.28,12.3,3.52,3.52
2011/04/08,72.9,73,72.4,72.9,"65,763","4,782,338",0.1374,0.2538,"25,914,193","1,889,144",72.8,72.9,0.1373,7.983,3.801,"9,173",12.29,12.32,3.52,3.52
2011/04/11,73,73,70.9,71.1,"62,602","4,503,047",-2.4691,0.2416,"25,914,193","1,842,499",71.1,71.2,-2.5001,7.798,4.468,"10,791",11.99,12.02,3.43,3.43
2011/04/12,70.5,70.7,70.1,70.1,"45,964","3,231,872",-1.4065,0.1774,"25,914,193","1,816,584",70.1,70.2,-1.4165,7.819,3.315,"10,389",11.82,11.85,3.38,3.39
2011/04/13,70.1,70.8,70,70.7,"27,891","1,964,191",0.8559,0.1076,"25,914,193","1,832,133",70.6,70.7,0.8523,7.843,2.237,"6,801",11.92,11.95,3.19,3.41
2011/04/14,70.3,70.5,69.6,69.8,"53,756","3,757,806",-1.273,0.2074,"25,914,193","1,808,810",69.8,69.9,-1.2812,7.723,3.678,"12,461",11.19,11.8,3.15,3.37
2011/04/15,70,70,69.1,69.2,"52,231","3,629,601",-0.8596,0.2016,"25,914,193","1,793,262",69.1,69.2,-0.8633,7.731,3.424,"11,026",11.09,11.7,3.12,3.34
2011/04/18,69.8,69.8,68.8,69,"27,185","1,877,233",-0.289,0.1049,"25,914,193","1,788,079",69,69.1,-0.2894,7.712,2.038,"6,035",11.06,11.66,3.11,3.33
2011/04/19,68.5,68.5,68,68.1,"42,733","2,915,769",-1.3043,0.1649,"25,914,193","1,764,756",68.1,68.2,-1.3129,7.678,2.962,"9,788",10.91,11.51,3.07,3.29
2011/04/20,69,69.8,68.5,69.8,"48,244","3,333,577",2.4963,0.1862,"25,914,193","1,808,810",69.7,69.8,2.4657,7.718,2.739,"9,868",11.19,11.8,3.15,3.37
2011/04/21,70.7,71.3,70.3,70.7,"50,937","3,606,899",1.2894,0.1966,"25,914,193","1,832,133",70.7,70.8,1.2812,7.691,2.324,"12,730",11.33,11.95,3.19,3.41
2011/04/22,70.9,71,70.3,70.9,"25,371","1,792,206",0.2829,0.0979,"25,914,193","1,837,316",70.8,70.9,0.2825,7.7,1.621,"5,550",11.36,11.98,3.2,3.42
2011/04/25,71,71.1,70.1,70.3,"22,103","1,556,732",-0.8463,0.0853,"25,914,193","1,821,767",70.3,70.4,-0.8499,7.651,1.59,"4,696",11.27,11.88,3.17,3.4
2011/04/26,69.7,70.3,69.1,70.3,"31,931","2,226,635",0,0.1232,"25,914,193","1,821,767",70.2,70.3,0,7.653,2.33,"8,675",11.27,11.88,3.17,3.4
2011/04/27,71.5,72.7,71.5,72.3,"59,307","4,271,965",2.845,0.2289,"25,914,193","1,873,596",72.2,72.3,2.8052,7.784,3.345,"17,352",11.59,12.22,3.26,3.49
2011/04/28,73.4,73.7,72.9,73,"83,614","6,125,682",0.9682,0.3227,"25,914,193","1,891,736",73,73.1,0.9635,7.867,4.79,"17,830",11.7,12.34,3.29,3.53
2011/04/29,73.7,73.9,72.9,73.2,"93,588","6,882,965",0.274,0.3611,"25,914,283","1,896,925",73.2,73.3,0.2736,7.916,4.917,"17,949",11.73,12.37,3.3,3.54
2011/05/03,73.9,74.8,73.6,74.6,"81,669","6,066,179",1.9126,0.3152,"25,914,283","1,933,205",74.5,74.6,1.8945,8.119,4.958,"19,824",11.96,12.61,3.18,3.6
2011/05/04,74.4,74.4,73,73.8,"46,678","3,433,260",-1.0724,0.1801,"25,914,283","1,912,474",73.8,73.9,-1.0782,8.031,3.066,"10,039",11.64,12.47,3.15,3.56
2011/05/05,74,74.8,73.6,74.8,"45,484","3,378,326",1.355,0.1755,"25,914,283","1,938,388",74.7,74.8,1.3459,8.075,2.531,"11,504",11.8,12.64,3.19,3.61
2011/05/06,75,75.6,74.4,75,"54,111","4,059,218",0.2674,0.2088,"25,914,283","1,943,571",74.9,75,0.267,8.133,3.284,"14,830",11.83,12.68,3.2,3.62
2011/05/09,75.6,76.1,75.2,75.5,"64,708","4,897,105",0.6667,0.2497,"25,914,283","1,956,528",75.5,75.6,0.6645,8.135,4.008,"11,734",11.91,12.76,3.22,3.65
2011/05/10,75.6,75.6,74.4,74.4,"43,355","3,237,316",-1.457,0.1673,"25,914,283","1,928,022",74.4,74.5,-1.4677,8.027,3.368,"9,744",11.74,12.57,3.17,3.59
2011/05/11,75.3,75.3,74.6,75,"43,256","3,243,205",0.8065,0.1669,"25,914,283","1,943,571",75,75.1,0.8032,8.095,3.161,"8,555",11.83,12.68,3.2,3.62
2011/05/12,74.2,76,74.1,75.7,"59,055","4,439,548",0.9333,0.2279,"25,914,283","1,961,711",75.5,75.7,0.929,8.158,4.151,"13,621",11.94,12.79,3.23,3.66
2011/05/13,76,76.1,75.5,75.9,"40,118","3,043,904",0.2642,0.1548,"25,914,283","1,966,894",75.9,76,0.2639,8.204,2.678,"9,913",11.97,12.83,3.24,3.67
2011/05/16,75.9,75.9,74.7,74.9,"34,105","2,560,369",-1.3175,0.1316,"25,914,283","1,940,979",74.9,75,-1.3263,8.182,2.825,"6,607",11.81,12.66,3.19,3.62
2011/05/17,74.6,76,74.6,75.6,"41,402","3,119,333",0.9346,0.1598,"25,914,283","1,959,119",75.6,75.7,0.9302,8.285,3.233,"10,167",11.92,12.78,3.22,3.65
2011/05/18,75.3,75.8,74.9,75.3,"28,263","2,130,897",-0.3968,0.1091,"25,914,283","1,951,345",75.3,75.5,-0.3976,8.196,2.525,"6,393",11.88,12.73,3.21,3.64
2011/05/19,74.9,76.3,74.9,75.2,"58,823","4,460,406",-0.1328,0.227,"25,914,283","1,948,754",75.2,75.3,-0.1329,8.233,4.038,"10,381",11.86,12.71,3.21,3.63
2011/05/20,76,76,74.9,75.5,"33,000","2,493,815",0.3989,0.1273,"25,914,283","1,956,528",75.5,75.6,0.3981,8.318,2.659,"6,934",11.91,12.76,3.22,3.65
2011/05/23,74.7,75.5,74.5,75.1,"39,033","2,930,155",-0.5298,0.1506,"25,914,283","1,946,162",75.1,75.2,-0.5312,8.359,3.289,"7,808",11.85,12.69,3.2,3.63
2011/05/24,74.9,75.1,74.2,74.8,"34,788","2,599,793",-0.3995,0.1342,"25,914,283","1,938,388",74.8,74.9,-0.4003,8.317,2.924,"7,252",11.8,12.64,3.19,3.61
2011/05/25,74.2,74.9,73.3,74.5,"59,580","4,415,640",-0.4011,0.2299,"25,914,283","1,930,614",74.4,74.5,-0.4019,8.312,5.123,"11,539",11.75,12.59,3.18,3.6
2011/05/26,75,75,74,74.2,"33,240","2,473,777",-0.4027,0.1283,"25,914,283","1,922,839",74.2,74.3,-0.4035,8.222,2.921,"6,184",11.7,12.54,3.16,3.58
2011/05/27,73.8,74.5,73.8,74,"49,929","3,699,398",-0.2695,0.1927,"25,914,283","1,917,656",73.9,74,-0.2699,8.18,3.862,"8,290",11.67,12.51,3.16,3.57
2011/05/30,74,75.3,74,75.1,"33,733","2,524,331",1.4865,0.1302,"25,914,283","1,946,162",75,75.1,1.4755,8.288,2.938,"7,159",11.85,12.69,3.2,3.63
2011/05/31,75.5,76.9,75.4,76.7,"62,918","4,799,615",2.1305,0.2428,"25,914,283","1,987,625",76.7,76.8,2.1081,8.309,3.692,"14,707",12.1,12.96,3.27,3.7
2011/06/01,76.3,77.3,76.3,77,"45,321","3,488,783",0.3911,0.1749,"25,914,283","1,995,399",76.9,77,0.3904,8.261,2.715,"12,368",12.15,12.06,3.28,3.28
2011/06/02,76.3,77.4,76.3,76.4,"61,881","4,759,830",-0.7792,0.2388,"25,914,283","1,979,851",76.4,76.5,-0.7823,8.262,4.397,"11,664",12.05,11.96,3.26,3.26
2011/06/03,77,77.2,76.1,77.2,"36,770","2,822,036",1.0471,0.1419,"25,914,283","2,000,582",77.1,77.2,1.0417,8.298,3.152,"7,149",12.18,12.09,3.29,3.29
2011/06/07,77.2,78.2,76.6,77.5,"41,425","3,213,436",0.3886,0.1599,"25,914,283","2,008,356",77.5,77.6,0.3878,8.32,3.638,"11,181",12.22,12.14,3.3,3.3
2011/06/08,77.1,78,77.1,77.5,"58,253","4,519,789",0,0.2248,"25,914,283","2,008,356",77.5,77.6,0,8.366,5.032,"8,862",12.22,12.14,3.3,3.3
2011/06/09,78,78,76.8,76.9,"36,964","2,849,471",-0.7742,0.1426,"25,914,283","1,992,808",76.9,77,-0.7772,8.307,3.637,"7,818",12.13,12.04,3.28,3.28
2011/06/10,77,77.5,75.1,75.3,"55,348","4,214,876",-2.0806,0.2136,"25,914,283","1,951,345",75.2,75.3,-2.1026,8.284,3.872,"15,429",11.88,11.79,3.21,3.21
2011/06/13,74.5,75,73.9,74.7,"72,548","5,389,059",-0.7968,0.28,"25,914,283","1,935,796",74.6,74.7,-0.8,8.334,5.614,"13,505",11.78,11.7,3.19,3.19
2011/06/14,74.5,76.4,74.5,76.2,"52,975","4,004,129",2.008,0.2044,"25,914,283","1,974,668",76.1,76.2,1.9881,8.389,4.532,"11,341",12.02,11.93,3.25,3.25
2011/06/15,77,77.4,76.1,77,"91,840","7,051,595",1.0499,0.3544,"25,914,283","1,995,399",77,77.1,1.0444,8.476,5.618,"13,586",12.15,12.06,3.28,3.28
2011/06/16,76,76.2,75.4,75.5,"63,134","4,779,979",-1.9481,0.2436,"25,914,283","1,956,528",75.5,75.6,-1.9673,8.481,4.597,"11,314",11.91,11.82,3.22,3.22
2011/06/17,75,75.1,74.1,74.2,"91,732","6,844,046",-1.7219,0.354,"25,914,283","1,922,839",74.2,74.3,-1.7369,8.353,6.272,"16,326",11.7,11.62,3.16,3.16
2011/06/20,74.6,75.4,74.1,74.9,"31,787","2,381,029",0.9434,0.1227,"25,914,283","1,940,979",74.9,75,0.939,8.536,2.584,"7,386",11.81,11.73,3.19,3.19
2011/06/21,75.4,76.2,75.3,75.9,"42,663","3,234,102",1.3351,0.1646,"25,914,283","1,966,894",75.8,75.9,1.3263,8.583,3.246,"9,032",11.97,11.89,3.24,3.24
2011/06/22,76.3,76.3,74.6,75,"46,702","3,517,723",-1.1858,0.1802,"25,914,283","1,943,571",75,75.1,-1.1929,8.458,3.534,"9,351",11.83,11.75,3.2,3.2
2011/06/23,74.7,74.9,73.8,74.2,"70,233","5,213,627",-1.0667,0.271,"25,914,283","1,922,839",74.1,74.2,-1.0724,8.42,5.703,"13,195",11.7,11.62,3.16,3.16
2011/06/24,73.6,73.6,71.9,72.9,"86,769","6,309,240",-1.752,0.3348,"25,914,283","1,889,151",72.8,72.9,-1.7676,8.304,6.979,"16,470",11.5,11.42,3.11,3.11
2011/06/27,72,72.1,71.6,72,"65,176","4,683,848",-1.2346,0.2515,"25,914,283","1,865,828",71.9,72,-1.2423,8.233,5.282,"14,604",11.36,11.28,3.07,3.07
2011/06/28,72.1,72.6,71.8,72.5,"101,716","7,347,339",0.6944,0.3925,"25,914,283","1,878,785",72.5,72.6,0.692,8.311,8.742,"16,823",11.44,11.35,3.09,3.09
2011/06/29,70.9,72.1,70.4,71.4,"93,105","6,628,947",2.62,0.3593,"25,914,283","1,850,279",71.4,71.5,2.5863,8.095,6.362,"21,630",11.26,11.18,3.04,3.04
2011/06/30,71.4,72.2,71.3,72.2,"48,913","3,508,412",1.1204,0.1887,"25,914,283","1,871,011",72,72.2,1.1142,8.109,3.483,"11,473",11.39,11.31,3.08,3.08
2011/07/01,72.2,73,72,72.8,"41,924","3,041,361",0.831,0.1618,"25,914,283","1,886,559",72.7,72.8,0.8276,8.092,2.844,"9,108",11.48,11.4,3.1,3.1
2011/07/04,73.9,73.9,73.1,73.5,"44,330","3,265,852",0.9615,0.1711,"25,914,283","1,904,699",73.5,73.6,0.9569,8.137,3.108,"10,247",11.59,11.51,3.13,3.13
2011/07/05,73.2,73.3,72.4,73.2,"39,009","2,839,150",-0.4082,0.1505,"25,914,283","1,896,925",73.1,73.2,-0.409,8.095,2.828,"6,807",11.55,11.46,3.12,3.12
2011/07/06,73.2,73.4,72.5,72.8,"43,443","3,169,242",-0.5464,0.1676,"25,914,283","1,886,559",72.7,72.8,-0.5479,8.015,2.843,"6,816",11.48,11.4,3.1,3.1
2011/07/07,72.1,72.3,71.5,71.6,"47,743","3,429,527",-1.6484,0.1842,"25,914,283","1,855,462",71.6,71.7,-1.6621,7.928,3.255,"12,693",11.29,11.21,3.05,3.05
2011/07/08,72.1,72.8,72,72.5,"52,961","3,838,413",1.257,0.2044,"25,914,283","1,878,785",72.4,72.5,1.2491,8.049,2.952,"8,251",11.44,11.35,3.09,3.09
2011/07/11,72.6,72.6,70.2,71.3,"52,112","3,701,064",-1.6552,0.2011,"25,914,283","1,847,688",71.2,71.3,-1.669,7.993,3.847,"12,078",11.25,11.17,3.04,3.04
2011/07/12,70.6,70.8,70.1,70.3,"40,008","2,818,009",-1.4025,0.1544,"25,914,283","1,821,774",70.3,70.4,-1.4125,8.043,2.556,"8,940",11.09,11.01,3,3
2011/07/13,70.5,72.5,70.1,72.2,"69,109","4,966,551",2.7027,0.2667,"25,914,283","1,871,011",72.1,72.2,2.6668,8.263,4.385,"19,813",11.39,11.31,3.08,3.08
2011/07/14,70.5,71.4,70.1,70.7,"54,411","3,845,784",-2.0776,0.21,"25,914,283","1,832,139",70.6,70.7,-2.0994,8.098,3.275,"13,982",11.15,11.07,3.01,3.02
2011/07/15,70,70.2,69.5,69.9,"89,121","6,223,266",-1.1315,0.3439,"25,914,283","1,811,408",69.8,69.9,-1.138,7.919,5.461,"20,328",11.03,10.95,2.98,2.98
2011/07/18,69.7,70.2,69.4,69.7,"37,965","2,648,614",-0.2861,0.1465,"25,914,283","1,806,225",69.7,69.8,-0.2865,7.929,2.514,"7,786",10.99,10.92,2.97,2.97
2011/07/19,69.6,69.8,68.5,68.5,"57,459","3,960,351",-1.7217,0.2217,"25,914,283","1,775,128",68.5,68.6,-1.7367,7.804,3.842,"16,242",10.8,10.73,2.92,2.92
2011/07/20,69.7,71.7,69.4,71.6,"58,272","4,121,417",4.5255,0.2249,"25,914,283","1,855,462",71.5,71.6,4.4261,7.986,3.137,"18,930",11.29,11.21,3.05,3.05
2011/07/21,71.4,71.6,70.6,71.6,"33,277","2,364,484",0,0.1284,"25,914,283","1,855,462",71.5,71.6,0,7.975,1.899,"8,282",11.29,11.21,3.05,3.05
2011/07/22,72.4,72.4,71.7,72,"38,243","2,758,712",0.5587,0.1476,"25,914,283","1,865,828",72,72.1,0.5571,7.974,2.048,"10,571",11.36,11.28,3.07,3.07
2011/07/25,72.4,72.5,71.4,72,"34,963","2,517,386",0,0.1349,"25,914,283","1,865,828",72,72.1,0,8.049,2.503,"6,909",11.36,11.28,3.07,3.07
2011/07/26,72.3,73.7,72.3,73.7,"53,159","3,880,977",2.3611,0.2051,"25,914,283","1,909,882",73.6,73.7,2.3337,8.136,3.537,"14,102",11.62,11.54,3.14,3.14
2011/07/27,73.7,73.9,73,73.4,"45,636","3,357,642",-0.4071,0.1761,"25,914,283","1,902,108",73.4,73.5,-0.4079,8.081,2.582,"7,358",11.58,11.5,3.13,3.13
2011/07/28,72.8,73.4,72.3,73,"33,720","2,458,820",-0.545,0.1301,"25,914,283","1,891,742",72.9,73,-0.5464,8.083,1.773,"7,741",11.51,11.43,3.11,3.11
2011/07/29,71.8,72.4,71.3,72,"60,692","4,363,332",-1.3699,0.2342,"25,914,547","1,865,847",71.9,72,-1.3793,8.077,3.009,"11,402",11.36,11.28,3.07,3.07
2011/08/01,72,72.8,72,72.6,"41,138","2,984,412",0.8333,0.1587,"25,914,547","1,881,396",72.5,72.6,0.8299,8.079,2.262,"9,646",11.45,11.37,3.1,3.1
2011/08/02,72,72.1,71.2,71.4,"33,521","2,399,941",-1.6529,0.1294,"25,914,547","1,850,298",71.3,71.4,-1.6667,8.054,1.913,"7,851",11.26,11.18,3.04,3.04
